Year,Artist,Song,CompressedRatio
1967,martha and the vandellas,jimmy mack,52.91
1978,anne murray,you needed me,52.91
1979,bonnie pointer,heaven must have sent you,52.941
1980,michael jackson,shes out of my life,52.941
1984,billy idol,eyes without a face,52.962
1966,lou christie,lightnin strikes,52.966
1979,sister sledge,we are family,52.973
1981,stevie nicks  tom petty,stop draggin my heart around,52.995
2001,tim mcgraw,grown men dont cry,53
1965,jack jones,the race is on,53.017
2005,john mayer,daughters,53.017
1990,mellow man ace,mentirosa,53.033
1987,bruce hornsby and the range,the way it is,53.052
1973,stevie wonder,superstition,53.061
1994,beck,loser,53.083
1974,the main ingredient,just dont want to be lonely,53.097
1982,rod stewart,young turks,53.107
1996,hootie  the blowfish,time,53.165
1992,michael jackson,black or white,53.169
1990,en vogue,hold on,53.191
1989,guns n roses,patience,53.199
1971,john denver,take me home country roads,53.216
2008,coldplay,viva la vida,53.216
2009,coldplay,viva la vida,53.216
1972,war,slippin into darkness,53.247
1987,huey lewis and the news,doing it all for my baby,53.247
1969,crazy elephant,gimme gimme good lovin,53.271
1994,aaliyah,back  forth,53.304
1969,the winstons,color him father,53.312
1982,air supply,here i am,53.333
1995,4:00 PM,sukiyaki,53.333
1983,duran duran,is there something i should know,53.361
1975,sammy johns,chevy van,53.365
1979,chic,le freak,53.365
1986,lionel richie,say you say me,53.365
1979,van halen,dance the night away,53.371
1996,ll cool j,doin it,53.383
2013,asap rocky featuring drake 2 chainz and kendrick lamar,fuckin problems,53.383
1993,kris kross,alright,53.386
2007,jim jones,we fly high,53.402
1981,a taste of honey,sukiyaki,53.409
1983,the kinks,come dancing,53.459
1966,the temptations,beauty is only skin deep,53.462
1996,no doubt,just a girl,53.462
1965,tom jones,its not unusual,53.472
1991,styx,show me the way,53.478
1985,diana ross,missing you,53.498
1983,tom petty and the heartbreakers,you got lucky,53.509
1983,frank stallone,far from over,53.509
1995,tlc,waterfalls,53.518
1988,huey lewis and the news,perfect world,53.521
1988,bruce hornsby and the range,the valley road,53.529
1973,jermaine jackson,daddys home,53.548
1995,tom petty,you dont know how it feels,53.552
1970,creedence clearwater revival,lookin out my back door,53.571
1970,crosby stills nash  young,woodstock,53.586
1979,alice cooper,how you gonna see me now,53.586
1995,janet jackson,runaway,53.586
1996,janet jackson,runaway,53.586
1966,nancy sinatra,these boots are made for walkin,53.591
1968,steppenwolf,magic carpet ride,53.591
1968,merrilee rush,angel of the morning,53.591
1994,lisa loeb and nine stories,stay i missed you,53.597
1968,percy sledge,take time to know her,53.629
1975,carl douglas,kung fu fighting,53.646
1980,stevie wonder,send one your love,53.659
2006,sean paul featuring keyshia cole,when you gonna give it up to me,53.659
1970,ray stevens,everything is beautiful,53.668
2003,dixie chicks,landslide,53.672
1984,rick springfield,love somebody,53.68
1965,bob dylan,like a rolling stone,53.69
1993,taylor dayne,cant get enough of your love,53.696
1996,john mellencamp,key west intermezzo i saw you first,53.704
1978,randy newman,short people,53.714
1984,night ranger,sister christian,53.714
1980,fleetwood mac,sara,53.719
2011,pink,fuckin perfect,53.722
1969,tony joe white,polk salad annie,53.737
1979,anne murray,i just fall in love again,53.741
1999,mo thugs,ghetto cowboy,53.745
1965,sonny  cher,baby dont go,53.75
1987,the bangles,walk like an egyptian,53.755
1997,heavy d,big daddy,53.77
2009,kings of leon,use somebody,53.788
2010,kings of leon,use somebody,53.788
1968,clarence carter,slip away,53.801
2011,zac brown band,colder weather,53.822
1967,the tremeloes,silence is golden,53.846
1973,kris kristofferson,why me,53.846
1973,sly  the family stone,if you want me to stay,53.846
1979,dr hook,when youre in love with a beautiful woman,53.846
1985,madonna,like a virgin,53.846
1988,eric carmen,hungry eyes,53.846
2010,lady antebellum,american honey,53.846
2014,martin garrix,animals,53.846
2014,macklemore  ryan lewis featuring schoolboy q and hollis,white walls,53.882
1965,four tops,i cant help myself sugar pie honey bunch,53.883
2015,mr probz,waves,53.906
1978,paul simon,slip slidin away,53.933
1992,u2,mysterious ways,53.942
1966,stevie wonder,uptight everythings alright,53.962
1986,rod stewart,love touch,53.962
1974,billy preston,nothing from nothing,53.968
1990,phil collins,do you remember,53.992
2015,selena gomez,the heart wants what it wants,53.994
2002,toby keith,my list,54.019
1978,rita coolidge,were all alone,54.023
1999,whitney houston and mariah carey,when you believe,54.035
1971,the fortunes,here comes that rainy day feeling again,54.054
2007,pink,who knew,54.077
1967,four tops,bernadette,54.093
1987,lisa lisa and cult jam,lost in emotion,54.104
1997,allure featuring 112,all cried out,54.104
1998,allure featuring 112,all cried out,54.104
2001,lonestar,im already there,54.104
1986,john cougar mellencamp,small town,54.106
1965,barbara lewis,baby im yours,54.11
1966,the sandpipers,guantanamera,54.118
1972,argent,hold your head up,54.118
2009,jayz and alicia keys,empire state of mind,54.128
2010,jayz and alicia keys,empire state of mind,54.128
1966,the rolling stones,paint it black,54.132
1966,james  bobby purify,im your puppet,54.144
1996,sheryl crow,if it makes you happy,54.183
1997,sheryl crow,if it makes you happy,54.183
1996,r kelly featuring the isley brothers,down low nobody has to know,54.187
1973,chicago,feelin stronger every day,54.194
1983,laura branigan,solitaire,54.202
2001,nelly,ei,54.207
1973,stories,brother louie,54.217
1973,lobo,dont expect me to be your friend,54.237
2009,shakira,she wolf,54.248
1970,the friends of distinction,love or let me be lonely,54.264
1995,az,sugar hill,54.269
1994,joshua kadison,beautiful in my eyes,54.271
1998,puff daddy featuring the notorious big and busta rhymes,victory,54.314
1972,donna fargo,the happiest girl in the whole usa,54.321
1973,the rolling stones,angie,54.321
1965,glenn yarbrough,baby the rain must fall,54.348
1966,the left banke,walk away renee,54.375
1968,gary puckett  the union gap,woman woman,54.375
1969,marvin gaye,too busy thinking about my baby,54.378
1986,genesis,throwing it all away,54.393
1972,johnny nash,i can see clearly now,54.4
1981,rod stewart,passion,54.435
1981,steve winwood,while you see a chance,54.438
1966,simon  garfunkel,homeward bound,54.45
1973,gladys knight  the pips,neither one of us wants to be the first to say goodbye,54.46
1988,michael jackson,dirty diana,54.467
2015,sia,elastic heart,54.478
1995,sheryl crow,strong enough,54.491
1996,total,no one else,54.494
1975,gladys knight  the pips,the way we weretry to remember,54.508
1987,abc,when smokey sings,54.511
1996,ll cool j,loungin,54.511
1996,crucial conflict,hay,54.532
1966,sam the sham and the pharaohs,lil red riding hood,54.545
1967,stevie wonder,i was made to love her,54.545
1968,james brown,i got the feelin,54.545
1973,charlie rich,behind closed doors,54.545
1978,walter egan,magnet and steel,54.545
1981,john lennon,watching the wheels,54.545
1986,sly fox,lets go all the way,54.545
2011,brad paisley and carrie underwood,remind me,54.579
1967,jay  the techniques,apples peaches pumpkin pie,54.589
1989,don henley,the end of the innocence,54.633
1988,aerosmith,angel,54.639
2005,ludacris,number one spot,54.643
1982,soft cell,tainted love,54.651
1984,madonna,holiday,54.658
1977,kansas,carry on wayward son,54.661
1965,the searchers,love potion no 9,54.673
2010,the band perry,if i die young,54.674
2011,the band perry,if i die young,54.674
2014,jason derulo featuring snoop dogg,wiggle,54.674
1986,inxs,what you need,54.701
1983,stephen bishop,it might be you,54.717
1982,kenny rogers,love will turn you around,54.724
1993,vanessa williams and brian mcknight,love is,54.726
2013,macklemore and ryan lewis featuring wanz,thrift shop,54.739
1991,roxette,joyride,54.745
2010,katy perry featuring snoop dogg,california gurls,54.798
1970,creedence clearwater revival,up around the bend,54.802
1990,vanilla ice,ice ice baby,54.812
1993,ice cube featuring das efx,check yo self,54.812
2002,ja rule featuring ashanti charli baltimore and vita,down 4 u,54.833
1999,brandy,have you ever,54.839
1967,marvin gaye  tammi terrell,your precious love,54.854
1982,ronnie milsap,any day now,54.857
2012,little big town,pontoon,54.867
1986,el debarge,whos johnny,54.887
1985,duran duran,a view to a kill,54.891
2003,alan jackson featuring jimmy buffett,its five oclock somewhere,54.891
1989,boy meets girl,waiting for a star to fall,54.894
1970,mountain,mississippi queen,54.902
1995,blues traveler,runaround,54.927
1974,olivia newtonjohn,if you love me let me know,54.93
1968,simon  garfunkel,scarborough faircanticle,54.936
1989,poison,every rose has its thorn,54.945
1971,the dramatics,whatcha see is whatcha get,54.955
1997,shawn colvin,sunny came home,54.974
1993,tag team,whoomp there it is,54.977
1994,tag team,whoomp there it is,54.977
2000,lonestar,what about now,54.983
2005,howie day,collide,55
2000,train,meet virginia,55.019
1984,stevie wonder,i just called to say i love you,55.042
2004,lloyd banks,on fire,55.044
1987,genesis,land of confusion,55.046
2000,donell jones,u know whats up,55.046
1965,vic dana,red roses for a blue lady,55.072
1972,roberta flack,the first time ever i saw your face,55.072
1994,celine dion,the power of love,55.072
2006,evanescence,call me when youre sober,55.08
1972,cat stevens,morning has broken,55.085
1988,terence trent darby,sign your name,55.085
1992,u2,one,55.102
1993,michael jackson,will you be there,55.102
1987,heart,alone,55.114
1976,hall  oates,sara smile,55.118
1988,inxs,never tear us apart,55.118
1989,lita ford and ozzy osbourne,close my eyes forever,55.128
2001,travis tritt,its a great day to be alive,55.128
1973,billy paul,me and mrs jones,55.135
1982,charlene,ive never been to me,55.135
1997,sarah mclachlan,building a mystery,55.159
1967,the beatles,penny lane,55.172
1976,keith carradine,im easy,55.172
2006,rascal flatts,what hurts the most,55.172
1994,bon jovi,always,55.182
1995,bon jovi,always,55.182
1972,looking glass,brandy youre a fine girl,55.184
1965,the lovin spoonful,do you believe in magic,55.187
1989,deon estus,heaven help me,55.191
1994,elton john,can you feel the love tonight,55.191
1986,heart,these dreams,55.195
1987,georgia satellites,keep your hands to yourself,55.204
1985,julian lennon,valotte,55.212
1969,tom jones,ill never fall in love again,55.215
2002,alan jackson,drive for daddy gene,55.227
1987,huey lewis and the news,hip to be square,55.251
1997,lil kim featuring da brat left eye missy elliott and angie martinez,not tonight,55.263
1993,duran duran,ordinary world,55.294
1965,peter and gordon,i go to pieces,55.3
1976,war,summer,55.3
1967,the doors,light my fire,55.307
1989,fine young cannibals,she drives me crazy,55.307
1975,frankie valli,swearin to god,55.311
1970,the carpenters,weve only just begun,55.333
1975,the carpenters,only yesterday,55.344
1981,diana ross  lionel richie,endless love,55.367
1983,styx,dont let it end,55.378
1979,eddie rabbitt,suspicions,55.392
1984,john lennon,nobody told me,55.399
1969,paul revere  the raiders,mr sun mr moon,55.405
1970,tom jones,without love there is nothing,55.405
1978,barry manilow,cant smile without you,55.414
1984,shannon,let the music play,55.417
1987,atlantic starr,always,55.44
1966,the standells,dirty water,55.446
1970,joe south,walk a mile in my shoes,55.446
1986,jermaine stewart,we dont have to take our clothes off,55.459
1977,andrew gold,lonely boy,55.462
2007,my chemical romance,welcome to the black parade,55.464
1971,the doors,riders on the storm,55.474
1976,paul anka,times of your life,55.491
1975,eddie kendricks,shoeshine boy,55.497
1989,mike  the mechanics,the living years,55.518
1965,the beach boys,california girls,55.556
1970,santana,evil ways,55.556
2003,clay aiken,this is the night,55.556
1997,dru hill,never make a promise,55.592
2006,carrie underwood,jesus take the wheel,55.594
1984,tracey ullman,they dont know,55.598
2009,green day,21 guns,55.6
1977,kenny nolan,loves grown deep,55.607
1972,jim croce,you dont mess around with jim,55.618
1968,the mills brothers,cab driver,55.621
2009,taylor swift,white horse,55.629
2003,kelly clarkson,miss independent,55.631
2010,miranda lambert,the house that built me,55.631
1970,marmalade,reflections of my life,55.652
1989,great white,once bitten twice shy,55.652
1980,genesis,misunderstanding,55.66
1994,general public,ill take you there,55.667
1984,the cars,you might think,55.676
2001,incubus,drive,55.676
1985,sheena easton,sugar walls,55.682
1976,the manhattans,kiss and say goodbye,55.686
1972,harry nilsson,without you,55.714
1984,daryl hall  john oates,adult education,55.718
1988,breathe,hands to heaven,55.721
1979,the charlie daniels band,the devil went down to georgia,55.725
2000,chad brock,yes,55.725
1967,engelbert humperdinck,release me,55.738
1990,new kids on the block,this ones for the children,55.747
1970,james taylor,fire and rain,55.755
1972,bread,everything i own,55.779
1971,gordon lightfoot,if you could read my mind,55.782
1993,expose,ill never get over you getting over me,55.785
1988,inxs,new sensation,55.794
1973,dr john,right place wrong time,55.825
1989,young mc,bust a move,55.825
1968,herb alpert,this guys in love with you,55.828
1975,olivia newtonjohn,have you never been mellow,55.828
1987,linda ronstadt and james ingram,somewhere out there,55.828
1988,richard marx,endless summer nights,55.83
1979,kenny rogers,she believes in me,55.839
1965,the miracles,the tracks of my tears,55.866
1966,the supremes,my world is empty without you,55.866
2004,kanye west featuring syleena johnson,all falls down,55.904
1989,the jeff healey band,angel eyes,55.906
2001,toby keith,you shouldnt kiss me like this,55.918
1968,gary puckett  the union gap,lady willpower,55.921
1967,robert knight,everlasting love,55.924
1999,len,steal my sunshine,55.927
1982,joan jett  the blackhearts,crimson and clover,55.952
2012,drake featuring lil wayne,the motto,55.955
1981,ronnie milsap,smoky mountain rain,55.967
1992,celine dion and peabo bryson,beauty and the beast,55.97
1999,brandy,almost doesnt count,55.97
2004,jadakiss,why,55.972
1990,janet jackson,come back to me,55.975
1966,the cyrkle,red rubber ball,56
1974,blue swede,hooked on a feeling,56.021
1980,kenny rogers  kim carnes,dont fall in love with a dreamer,56.039
1999,blackstreet featuring m'ya mase and blinky blink,take me there,56.044
1991,chesney hawkes,the one and only,56.048
